Record_Type,profile_id,profile_name,profile_run_key,profile_start_time,profile_end_time,profile_execution_Time,rows_Processed,run_status,runCostInMB,Key_PID_RKEY
Previous Run - 3,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,5,2021-08-23 11:34:00,2021-08-23 11:36:00,120.772,1000,COMPLETED,0.3439006805419922,307e5f75-dac2-493b-a5d8-1db279c070925
Previous Run - 4,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,4,2021-08-23 11:08:16,2021-08-23 11:10:21,125.326,1000,COMPLETED,0.36205101013183594,307e5f75-dac2-493b-a5d8-1db279c070924
Previous Run - 5,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,3,2021-08-23 10:05:33,2021-08-23 10:08:02,149.52,1000,COMPLETED,0.362579345703125,307e5f75-dac2-493b-a5d8-1db279c070923
Previous Run - 6,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,2,2021-08-23 09:59:28,2021-08-23 10:01:25,116.757,1000,COMPLETED,0.34108924865722656,307e5f75-dac2-493b-a5d8-1db279c070922
Previous Run - 7,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,1,2021-08-23 09:51:07,2021-08-23 09:53:11,123.637,1000,COMPLETED,0.34092140197753906,307e5f75-dac2-493b-a5d8-1db279c070921
Latest Run,e42a503c-d2a7-43ad-9dd0-bed5fd1625db,Profile_Demo,2,2023-02-09 15:55:30,2023-02-09 15:56:24,54.176,40000,COMPLETED,0.1300802230834961,e42a503c-d2a7-43ad-9dd0-bed5fd1625db2
Previous Run,e42a503c-d2a7-43ad-9dd0-bed5fd1625db,Profile_Demo,1,2023-02-09 15:45:45,2023-02-09 15:46:43,58.162,40000,COMPLETED,0.1300802230834961,e42a503c-d2a7-43ad-9dd0-bed5fd1625db1
Latest Run,d7e558b7-1e55-4729-8b7b-c8165d0959d5,Profile_Employee,3,2022-03-29 19:19:42,2022-03-29 19:20:48,65.723,107,COMPLETED,0.14855003356933594,d7e558b7-1e55-4729-8b7b-c8165d0959d53
Previous Run,d7e558b7-1e55-4729-8b7b-c8165d0959d5,Profile_Employee,2,2022-03-29 19:08:44,2022-03-29 19:09:41,57.27,107,COMPLETED,0.146331787109375,d7e558b7-1e55-4729-8b7b-c8165d0959d52
Previous Run - 1,d7e558b7-1e55-4729-8b7b-c8165d0959d5,Profile_Employee,1,2022-03-29 19:02:52,2022-03-29 19:03:47,54.813,107,COMPLETED,0.13081741333007812,d7e558b7-1e55-4729-8b7b-c8165d0959d51
Latest Run,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,14,2022-06-07 11:01:52,2022-06-07 11:03:21,88.209,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a14
Previous Run,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,13,2022-06-07 10:56:38,2022-06-07 10:57:39,60.357,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a13
