profile_id,Profile_name,Profile_lastRunKey,rule_frs_id,rule_out_field_id,rule_out_field,Key_PID_RCOLID,Key_PID_RFRSID
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,9mzeapmXZsshlH69BS8W46,1c94b29c-67e3-424e-942f-fda3f288dd77,EmailAddress,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac1c94b29c-67e3-424e-942f-fda3f288dd77,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac9mzeapmXZsshlH69BS8W46
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,5q32dv4Rqu1ld32Jw1ZbK5,9bf86670-30bc-417f-a8d9-c0fc285a5015,Valid_Zip,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac9bf86670-30bc-417f-a8d9-c0fc285a5015,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac5q32dv4Rqu1ld32Jw1ZbK5
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,5q32dv4Rqu1ld32Jw1ZbK5,6327e482-a7e0-42f8-bede-ac72ce560cae,Valid_Name,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac6327e482-a7e0-42f8-bede-ac72ce560cae,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac5q32dv4Rqu1ld32Jw1ZbK5
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,5q32dv4Rqu1ld32Jw1ZbK5,85691dd8-0409-466b-a805-a9bfe5a1ccba,Valid_Contact,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac85691dd8-0409-466b-a805-a9bfe5a1ccba,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac5q32dv4Rqu1ld32Jw1ZbK5
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,5q32dv4Rqu1ld32Jw1ZbK5,c26fa72f-5009-47b1-ac7d-739d3fc8d857,Valid_PhoneNumber,81c60f50-fa3b-4d34-aabe-fbf8ec7020acc26fa72f-5009-47b1-ac7d-739d3fc8d857,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac5q32dv4Rqu1ld32Jw1ZbK5
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,4AsNshslWFFbAZOZnuWkK0,865b2253-566a-4daa-8c83-b71e259142de,Company_Validation_Rule,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac865b2253-566a-4daa-8c83-b71e259142de,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac4AsNshslWFFbAZOZnuWkK0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,0HlG7h8XRFkfEf4fSDfQ6L,f25f7423-7b58-4724-9260-514895781c2e,Country_Validation_Rule,81c60f50-fa3b-4d34-aabe-fbf8ec7020acf25f7423-7b58-4724-9260-514895781c2e,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac0HlG7h8XRFkfEf4fSDfQ6L
127a6203-7ed3-4609-8dc0-00e859ed0efe,Profile_CUSTOMER,1,8cTpv1FMQpjhhOqpzLLsy0,6d387fbb-8c1a-4c65-9844-ea44b75bafa4,Country_Name_Vality_Check,127a6203-7ed3-4609-8dc0-00e859ed0efe6d387fbb-8c1a-4c65-9844-ea44b75bafa4,127a6203-7ed3-4609-8dc0-00e859ed0efe8cTpv1FMQpjhhOqpzLLsy0
127a6203-7ed3-4609-8dc0-00e859ed0efe,Profile_CUSTOMER,1,74TPi4a2MBMcL14YqLtVgC,c4df7cb2-6d34-4b87-a331-54979806b110,Unparsed,127a6203-7ed3-4609-8dc0-00e859ed0efec4df7cb2-6d34-4b87-a331-54979806b110,127a6203-7ed3-4609-8dc0-00e859ed0efe74TPi4a2MBMcL14YqLtVgC
127a6203-7ed3-4609-8dc0-00e859ed0efe,Profile_CUSTOMER,1,74TPi4a2MBMcL14YqLtVgC,c8f5092d-2c97-44cf-bc58-816b2c6c7111,Overflow,127a6203-7ed3-4609-8dc0-00e859ed0efec8f5092d-2c97-44cf-bc58-816b2c6c7111,127a6203-7ed3-4609-8dc0-00e859ed0efe74TPi4a2MBMcL14YqLtVgC
